"Month","Ridership","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_rider","t_square"
"May-94",1831,0,0,0,0,1,0,0,0,0,0,0,0,41,7.51261754467451,1681
"Jun-94",1776,0,0,0,0,0,1,0,0,0,0,0,0,42,7.48211892355212,1764
"Jul-94",1868,0,0,0,0,0,0,1,0,0,0,0,0,43,7.53262361878879,1849
"Aug-94",1907,0,0,0,0,0,0,0,1,0,0,0,0,44,7.55328660560042,1936
"Sep-94",1686,0,0,0,0,0,0,0,0,1,0,0,0,45,7.4301141385618,2025
"Oct-94",1779,0,0,0,0,0,0,0,0,0,1,0,0,46,7.48380668766583,2116
"Nov-94",1776,0,0,0,0,0,0,0,0,0,0,1,0,47,7.48211892355212,2209
"Dec-94",1783,0,0,0,0,0,0,0,0,0,0,0,1,48,7.48605261786314,2304
"Jan-95",1548,1,0,0,0,0,0,0,0,0,0,0,0,49,7.34471905414967,2401
"Feb-95",1497,0,1,0,0,0,0,0,0,0,0,0,0,50,7.31121838441963,2500
"Mar-95",1798,0,0,1,0,0,0,0,0,0,0,0,0,51,7.49443021503157,2601
"Apr-95",1733,0,0,0,1,0,0,0,0,0,0,0,0,52,7.45760928971561,2704
"May-95",1772,0,0,0,0,1,0,0,0,0,0,0,0,53,7.47986413116503,2809
"Jun-95",1761,0,0,0,0,0,1,0,0,0,0,0,0,54,7.47363710849621,2916
"Jul-95",1792,0,0,0,0,0,0,1,0,0,0,0,0,55,7.49108759353488,3025
"Aug-95",1875,0,0,0,0,0,0,0,1,0,0,0,0,56,7.53636393840451,3136
"Sep-95",1571,0,0,0,0,0,0,0,0,1,0,0,0,57,7.35946763825562,3249
"Oct-95",1647,0,0,0,0,0,0,0,0,0,1,0,0,58,7.40671073017764,3364
"Nov-95",1673,0,0,0,0,0,0,0,0,0,0,1,0,59,7.42237370098682,3481
"Dec-95",1657,0,0,0,0,0,0,0,0,0,0,0,1,60,7.41276401742656,3600
"Jan-96",1382,1,0,0,0,0,0,0,0,0,0,0,0,61,7.23128700432762,3721
"Feb-96",1361,0,1,0,0,0,0,0,0,0,0,0,0,62,7.21597500265147,3844
"Mar-96",1559,0,0,1,0,0,0,0,0,0,0,0,0,63,7.35179986905778,3969
"Apr-96",1608,0,0,0,1,0,0,0,0,0,0,0,0,64,7.38274644973891,4096
"May-96",1697,0,0,0,0,1,0,0,0,0,0,0,0,65,7.43661726523423,4225
"Jun-96",1693,0,0,0,0,0,1,0,0,0,0,0,0,66,7.43425738213314,4356
"Jul-96",1836,0,0,0,0,0,0,1,0,0,0,0,0,67,7.51534457118044,4489
"Aug-96",1943,0,0,0,0,0,0,0,1,0,0,0,0,68,7.57198844937744,4624
"Sep-96",1551,0,0,0,0,0,0,0,0,1,0,0,0,69,7.34665516317654,4761
"Oct-96",1687,0,0,0,0,0,0,0,0,0,1,0,0,70,7.43070708254597,4900
"Nov-96",1576,0,0,0,0,0,0,0,0,0,0,1,0,71,7.36264527041782,5041
"Dec-96",1700,0,0,0,0,0,0,0,0,0,0,0,1,72,7.43838353004431,5184
"Jan-97",1397,1,0,0,0,0,0,0,0,0,0,0,0,73,7.24208235925696,5329
"Feb-97",1372,0,1,0,0,0,0,0,0,0,0,0,0,74,7.22402480828583,5476
"Mar-97",1708,0,0,1,0,0,0,0,0,0,0,0,0,75,7.44307837434852,5625
"Apr-97",1655,0,0,0,1,0,0,0,0,0,0,0,0,76,7.41155628781116,5776
"May-97",1763,0,0,0,0,1,0,0,0,0,0,0,0,77,7.47477218239787,5929
"Jun-97",1776,0,0,0,0,0,1,0,0,0,0,0,0,78,7.48211892355212,6084
"Jul-97",1934,0,0,0,0,0,0,1,0,0,0,0,0,79,7.56734567601324,6241
"Aug-97",2008,0,0,0,0,0,0,0,1,0,0,0,0,80,7.60489448081162,6400
"Sep-97",1616,0,0,0,0,0,0,0,0,1,0,0,0,81,7.38770923908104,6561
"Oct-97",1774,0,0,0,0,0,0,0,0,0,1,0,0,82,7.48099216286952,6724
"Nov-97",1732,0,0,0,0,0,0,0,0,0,0,1,0,83,7.45703208912238,6889
"Dec-97",1797,0,0,0,0,0,0,0,0,0,0,0,1,84,7.49387388678356,7056
"Jan-98",1570,1,0,0,0,0,0,0,0,0,0,0,0,85,7.35883089834235,7225
"Feb-98",1413,0,1,0,0,0,0,0,0,0,0,0,0,86,7.25347038268453,7396
"Mar-98",1755,0,0,1,0,0,0,0,0,0,0,0,0,87,7.47022413589997,7569
"Apr-98",1825,0,0,0,1,0,0,0,0,0,0,0,0,88,7.50933526601659,7744
"May-98",1843,0,0,0,0,1,0,0,0,0,0,0,0,89,7.51914995766982,7921
"Jun-98",1826,0,0,0,0,0,1,0,0,0,0,0,0,90,7.50988306115491,8100
"Jul-98",1968,0,0,0,0,0,0,1,0,0,0,0,0,91,7.5847730776122,8281
"Aug-98",1922,0,0,0,0,0,0,0,1,0,0,0,0,92,7.56112158953024,8464
"Sep-98",1670,0,0,0,0,0,0,0,0,1,0,0,0,93,7.4205789054108,8649
"Oct-98",1791,0,0,0,0,0,0,0,0,0,1,0,0,94,7.49052940206071,8836
"Nov-98",1817,0,0,0,0,0,0,0,0,0,0,1,0,95,7.50494206839617,9025
"Dec-98",1847,0,0,0,0,0,0,0,0,0,0,0,1,96,7.52131798019924,9216
"Jan-99",1599,1,0,0,0,0,0,0,0,0,0,0,0,97,7.37713371283395,9409
"Feb-99",1549,0,1,0,0,0,0,0,0,0,0,0,0,98,7.34536484041687,9604
"Mar-99",1832,0,0,1,0,0,0,0,0,0,0,0,0,99,7.51316354523408,9801
"Apr-99",1840,0,0,0,1,0,0,0,0,0,0,0,0,100,7.51752085060303,10000
"May-99",1846,0,0,0,0,1,0,0,0,0,0,0,0,101,7.5207764150628,10201
"Jun-99",1865,0,0,0,0,0,1,0,0,0,0,0,0,102,7.53101633207792,10404
"Jul-99",1966,0,0,0,0,0,0,1,0,0,0,0,0,103,7.58375630070711,10609
"Aug-99",1949,0,0,0,0,0,0,0,1,0,0,0,0,104,7.57507169950756,10816
"Sep-99",1607,0,0,0,0,0,0,0,0,1,0,0,0,105,7.38212436573751,11025
"Oct-99",1804,0,0,0,0,0,0,0,0,0,1,0,0,106,7.49776170062257,11236
"Nov-99",1850,0,0,0,0,0,0,0,0,0,0,1,0,107,7.52294091807237,11449
"Dec-99",1836,0,0,0,0,0,0,0,0,0,0,0,1,108,7.51534457118044,11664
"Jan-00",1542,1,0,0,0,0,0,0,0,0,0,0,0,109,7.34083555412327,11881
"Feb-00",1617,0,1,0,0,0,0,0,0,0,0,0,0,110,7.38832785957711,12100
"Mar-00",1920,0,0,1,0,0,0,0,0,0,0,0,0,111,7.56008046502183,12321
"Apr-00",1971,0,0,0,1,0,0,0,0,0,0,0,0,112,7.58629630715272,12544
"May-00",1992,0,0,0,0,1,0,0,0,0,0,0,0,113,7.59689443814454,12769
"Jun-00",2010,0,0,0,0,0,1,0,0,0,0,0,0,114,7.60589000105312,12996
"Jul-00",2054,0,0,0,0,0,0,1,0,0,0,0,0,115,7.6275443904885,13225
"Aug-00",2097,0,0,0,0,0,0,0,1,0,0,0,0,116,7.64826303090192,13456
"Sep-00",1824,0,0,0,0,0,0,0,0,1,0,0,0,117,7.50878717063428,13689
"Oct-00",1977,0,0,0,0,0,0,0,0,0,1,0,0,118,7.58933582317062,13924
"Nov-00",1981,0,0,0,0,0,0,0,0,0,0,1,0,119,7.59135704669855,14161
"Dec-00",2000,0,0,0,0,0,0,0,0,0,0,0,1,120,7.60090245954208,14400
"Jan-01",1683,1,0,0,0,0,0,0,0,0,0,0,0,121,7.42833319419081,14641
"Feb-01",1663,0,1,0,0,0,0,0,0,0,0,0,0,122,7.41637847919293,14884
"Mar-01",2008,0,0,1,0,0,0,0,0,0,0,0,0,123,7.60489448081162,15129
"Apr-01",2024,0,0,0,1,0,0,0,0,0,0,0,0,124,7.61283103040736,15376
"May-01",2047,0,0,0,0,1,0,0,0,0,0,0,0,125,7.62413058566129,15625
"Jun-01",2073,0,0,0,0,0,1,0,0,0,0,0,0,126,7.63675211243578,15876
"Jul-01",2127,0,0,0,0,0,0,1,0,0,0,0,0,127,7.66246781520024,16129
"Aug-01",2203,0,0,0,0,0,0,0,1,0,0,0,0,128,7.69757534680234,16384
"Sep-01",1708,0,0,0,0,0,0,0,0,1,0,0,0,129,7.44307837434852,16641
"Oct-01",1951,0,0,0,0,0,0,0,0,0,1,0,0,130,7.57609734062311,16900
"Nov-01",1974,0,0,0,0,0,0,0,0,0,0,1,0,131,7.58781721999343,17161
"Dec-01",1985,0,0,0,0,0,0,0,0,0,0,0,1,132,7.59337419312129,17424
"Jan-02",1760,1,0,0,0,0,0,0,0,0,0,0,0,133,7.4730690880322,17689
"Feb-02",1771,0,1,0,0,0,0,0,0,0,0,0,0,134,7.47929963778283,17956
"Mar-02",2020,0,0,1,0,0,0,0,0,0,0,0,0,135,7.61085279039525,18225
"Apr-02",2048,0,0,0,1,0,0,0,0,0,0,0,0,136,7.6246189861594,18496
"May-02",2069,0,0,0,0,1,0,0,0,0,0,0,0,137,7.63482067774554,18769
"Jun-02",1994,0,0,0,0,0,1,0,0,0,0,0,0,138,7.59789795052178,19044
"Jul-02",2075,0,0,0,0,0,0,1,0,0,0,0,0,139,7.6377164326648,19321
"Aug-02",2027,0,0,0,0,0,0,0,1,0,0,0,0,140,7.614312146452,19600
"Sep-02",1734,0,0,0,0,0,0,0,0,1,0,0,0,141,7.45818615734049,19881
"Oct-02",1917,0,0,0,0,0,0,0,0,0,1,0,0,142,7.55851674304564,20164
"Nov-02",1858,0,0,0,0,0,0,0,0,0,0,1,0,143,7.52725591937378,20449
"Dec-02",1996,0,0,0,0,0,0,0,0,0,0,0,1,144,7.59890045687141,20736
"Jan-03",1778,1,0,0,0,0,0,0,0,0,0,0,0,145,7.48324441607385,21025
"Feb-03",1749,0,1,0,0,0,0,0,0,0,0,0,0,146,7.4667994750186,21316
"Mar-03",2066,0,0,1,0,0,0,0,0,0,0,0,0,147,7.63336964967958,21609
"Apr-03",2099,0,0,0,1,0,0,0,0,0,0,0,0,148,7.64921631982063,21904
"May-03",2105,0,0,0,0,1,0,0,0,0,0,0,0,149,7.65207074611648,22201
"Jun-03",2130,0,0,0,0,0,1,0,0,0,0,0,0,150,7.66387725870347,22500
"Jul-03",2223,0,0,0,0,0,0,1,0,0,0,0,0,151,7.7066129139642,22801
"Aug-03",2174,0,0,0,0,0,0,0,1,0,0,0,0,152,7.68432406768116,23104
"Sep-03",1931,0,0,0,0,0,0,0,0,1,0,0,0,153,7.56579328242851,23409
"Oct-03",2121,0,0,0,0,0,0,0,0,0,1,0,0,154,7.65964295456468,23716
"Nov-03",2076,0,0,0,0,0,0,0,0,0,0,1,0,155,7.63819824428578,24025
"Dec-03",2141,0,0,0,0,0,0,0,0,0,0,0,1,156,7.66902828858968,24336
"Jan-04",1832,1,0,0,0,0,0,0,0,0,0,0,0,157,7.51316354523408,24649
"Feb-04",1838,0,1,0,0,0,0,0,0,0,0,0,0,158,7.51643330291563,24964
"Mar-04",2132,0,0,1,0,0,0,0,0,0,0,0,0,159,7.66481578528574,25281
